epoch,accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
1,0.4498448669910431,1.2467533349990845,0.6679844260215759,0.7284768223762512,0.18302828073501587,0.5818944573402405,0.5267857313156128,0.7466678619384766,0.5092067718505859,0.0,0.0,0.5525264143943787,0.0006000000284984708
2,0.4467425048351288,1.0952354669570923,0.7107830047607422,0.7538461685180664,0.16306155920028687,0.6237055063247681,0.5267857313156128,0.7481867074966431,0.5016725659370422,0.0,0.0,0.5661576390266418,0.0006000000284984708
3,0.4653567671775818,1.0553348064422607,0.7695034146308899,0.8818181753158569,0.16139766573905945,0.6674781441688538,0.5267857313156128,0.7447255849838257,0.6000043153762817,0.0,0.0,0.6590582132339478,0.0006000000284984708
4,0.5025852918624878,1.0550882816314697,0.7753967046737671,0.8448275923728943,0.2445923388004303,0.6691625118255615,0.5267857313156128,0.740842878818512,0.563280463218689,0.0,0.0,0.6320755481719971,0.0006000000284984708
5,0.5243019461631775,1.0283416509628296,0.7924991250038147,0.8472906351089478,0.2861896753311157,0.6788980960845947,0.5267857313156128,0.7526820302009583,0.6391932368278503,0.0,0.0,0.7077470421791077,0.0006000000284984708
6,0.5046535730361938,1.0227540731430054,0.7950204610824585,0.8961039185523987,0.22961729764938354,0.6963439583778381,0.5267857313156128,0.7472899556159973,0.5818347930908203,0.0,0.0,0.687440037727356,0.0006000000284984708
7,0.5377455949783325,1.0024089813232422,0.8118265867233276,0.9095744490623474,0.2845257818698883,0.7063455581665039,0.5223214030265808,0.7282727360725403,0.6244301199913025,0.4444444477558136,0.03773584961891174,0.71482253074646,0.0006000000284984708
8,0.5522233843803406,1.0039691925048828,0.8105647563934326,0.8818181753158569,0.3227953314781189,0.7000627517700195,0.5178571343421936,0.754883885383606,0.6434667706489563,0.3333333432674408,0.01886792480945587,0.7416853308677673,0.0006000000284984708
9,0.5336090922355652,0.9757189750671387,0.8243988752365112,0.907608687877655,0.27787020802497864,0.7289581298828125,0.5178571343421936,0.7207831740379333,0.6574215888977051,0.3333333432674408,0.01886792480945587,0.7656300067901611,0.0006000000284984708
10,0.5625646114349365,1.0027879476547241,0.8142942786216736,0.8708333373069763,0.34775373339653015,0.7107052803039551,0.5178571343421936,0.7507308721542358,0.7051976919174194,0.3333333432674408,0.01886792480945587,0.7688679695129395,0.0006000000284984708
11,0.5532575249671936,0.9856439232826233,0.82295161485672,0.8930232524871826,0.31946754455566406,0.7226389050483704,0.5223214030265808,0.7435058355331421,0.6866753101348877,0.4444444477558136,0.03773584961891174,0.772425651550293,0.0006000000284984708
12,0.5646328926086426,0.9902393221855164,0.8145263195037842,0.8913043737411499,0.3410981595516205,0.7033450603485107,0.625,0.6934035420417786,0.8010120391845703,0.8928571343421936,0.2358490526676178,0.8045650720596313,0.0006000000284984708
13,0.5553257465362549,0.973182737827301,0.8249818682670593,0.9170731902122498,0.3128119707107544,0.7176586389541626,0.6785714030265808,0.6326273679733276,0.8143395185470581,0.7931034564971924,0.43396225571632385,0.8098816871643066,0.0006000000284984708
14,0.5625646114349365,0.948205292224884,0.840762734413147,0.9045454263687134,0.331114798784256,0.7482905983924866,0.7053571343421936,0.5919919013977051,0.8443173170089722,0.8448275923728943,0.46226415038108826,0.8229133486747742,0.0006000000284984708
15,0.5429162383079529,0.9792734384536743,0.8237067461013794,0.8994975090026855,0.29783692955970764,0.7168744802474976,0.71875,0.6097756624221802,0.8406898379325867,0.9056603908538818,0.4528301954269409,0.8187559843063354,0.0006000000284984708
16,0.5646328926086426,0.9479638934135437,0.842353343963623,0.9166666865348816,0.32945090532302856,0.7349863052368164,0.7678571343421936,0.5594521164894104,0.8539513945579529,0.8374999761581421,0.6320754885673523,0.8264310359954834,0.0006000000284984708
17,0.5801447629928589,0.9636178612709045,0.8342689871788025,0.9113923907279968,0.35940098762512207,0.7274442315101624,0.7321428656578064,0.5859854817390442,0.8471888899803162,0.9259259104728699,0.4716981053352356,0.8239926695823669,0.0006000000284984708
18,0.5615305304527283,0.9441004991531372,0.841064989566803,0.9275362491607666,0.31946754455566406,0.7423738241195679,0.7767857313156128,0.5479165315628052,0.8517472743988037,0.8414633870124817,0.650943398475647,0.8291493654251099,0.0006000000284984708
19,0.5677352547645569,0.9282251000404358,0.851232647895813,0.9103139042854309,0.33777037262916565,0.7572283744812012,0.78125,0.5475115776062012,0.8493212461471558,0.8352941274642944,0.6698113083839417,0.8293492197990417,0.0006000000284984708
20,0.6008272767066956,0.9484565854072571,0.8440456986427307,0.915057897567749,0.3943427503108978,0.7474018335342407,0.7321428656578064,0.5613303780555725,0.8619512915611267,0.859375,0.5188679099082947,0.8413015604019165,0.0006000000284984708
21,0.5946225523948669,0.9342122673988342,0.8490932583808899,0.9300411343574524,0.37603992223739624,0.7567942142486572,0.7366071343421936,0.572527289390564,0.8510277271270752,0.797468364238739,0.5943396091461182,0.8391829133033752,0.0006000000284984708
22,0.5780765414237976,0.938613772392273,0.8487880825996399,0.9251101613044739,0.34941762685775757,0.7498840689659119,0.7946428656578064,0.5587964653968811,0.8589578866958618,0.8409090638160706,0.698113203048706,0.8317077159881592,0.0006000000284984708
23,0.5884177684783936,0.919837236404419,0.852837085723877,0.939393937587738,0.3610648810863495,0.758530855178833,0.7589285969734192,0.5513535141944885,0.864159107208252,0.8513513803482056,0.5943396091461182,0.8375838994979858,0.0006000000284984708
24,0.5656670331954956,0.9519862532615662,0.8410657644271851,0.9414634108543396,0.3211314380168915,0.7482883930206299,0.7232142686843872,0.5594865083694458,0.8384199738502502,0.7894737124443054,0.5660377144813538,0.8141189813613892,0.0006000000284984708
25,0.608066201210022,0.904933512210846,0.8623664379119873,0.93359375,0.39767053723335266,0.7731172442436218,0.7723214030265808,0.565603494644165,0.8544281125068665,0.8481012582778931,0.6320754885673523,0.8266309499740601,0.0006000000284984708
26,0.620475709438324,0.8897840976715088,0.8675435781478882,0.9365671873092651,0.41763725876808167,0.780056893825531,0.7410714030265808,0.5645574927330017,0.8432338237762451,0.8529411554336548,0.5471698045730591,0.8085625171661377,0.0006000000284984708
27,0.6132368445396423,0.8975778818130493,0.8659833669662476,0.9348658919334412,0.40599000453948975,0.7758107781410217,0.7857142686843872,0.5633072853088379,0.8568425178527832,0.8295454382896423,0.6886792182922363,0.8325071930885315,0.0006000000284984708
