epoch,accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
1,0.6924231052398682,0.885905921459198,0.7775176167488098,0.9244444370269775,0.34608983993530273,0.761359691619873,0.7589285969734192,0.5504828691482544,0.8676520586013794,0.8513513803482056,0.5943396091461182,0.8388631343841553,9.999999747378752e-05
2,0.6999250054359436,0.8511660695075989,0.7940479516983032,0.9674418568611145,0.34608983993530273,0.7758937478065491,0.7589285969734192,0.5538790225982666,0.8677239418029785,0.8513513803482056,0.5943396091461182,0.8404221534729004,9.999999747378752e-05
3,0.6886721849441528,0.8593599796295166,0.7865049839019775,0.9471153616905212,0.32778701186180115,0.7689517736434937,0.7633928656578064,0.5623568296432495,0.8603517413139343,0.8533333539962769,0.6037735939025879,0.8259513974189758,9.999999747378752e-05
4,0.6999250054359436,0.8375625014305115,0.7973896265029907,0.9589040875434875,0.34941762685775757,0.7809763550758362,0.7901785969734192,0.5434138774871826,0.8623679876327515,0.8554216623306274,0.6698113083839417,0.8332667350769043,9.999999747378752e-05
5,0.7006751894950867,0.8380060195922852,0.800919771194458,0.9469026327133179,0.35607320070266724,0.7805866003036499,0.78125,0.5490120053291321,0.8610525131225586,0.8607594966888428,0.6415094137191772,0.8280700445175171,9.999999747378752e-05
6,0.7074268460273743,0.8240625262260437,0.8082252740859985,0.9688888788223267,0.3627287745475769,0.7888150811195374,0.7857142686843872,0.5550254583358765,0.8584032654762268,0.862500011920929,0.650943398475647,0.8251519203186035,9.999999747378752e-05
7,0.6991748213768005,0.8438085913658142,0.7936870455741882,0.9545454382896423,0.34941762685775757,0.7736911773681641,0.7633928656578064,0.5534687638282776,0.8587491512298584,0.8533333539962769,0.6037735939025879,0.821674108505249,4.999999873689376e-05
8,0.6969242095947266,0.8324580192565918,0.804654598236084,0.9457013607025146,0.34775373339653015,0.7903266549110413,0.7589285969734192,0.5652042031288147,0.8575928211212158,0.8513513803482056,0.5943396091461182,0.8173569440841675,4.999999873689376e-05
9,0.7111777663230896,0.8146557807922363,0.809566855430603,0.9736841917037964,0.3693843483924866,0.7929362058639526,0.78125,0.5554861426353455,0.8562126755714417,0.8607594966888428,0.6415094137191772,0.8131595849990845,4.999999873689376e-05
10,0.7066766619682312,0.8127394914627075,0.8126994371414185,0.96875,0.3610648810863495,0.7955558896064758,0.7857142686843872,0.5539951920509338,0.8534718751907349,0.862500011920929,0.650943398475647,0.8092420697212219,4.999999873689376e-05
