epoch,accuracy,auc,distillation_loss,hard_loss,loss,precision,recall,val_accuracy,val_auc,val_distillation_loss,val_hard_loss,val_loss,val_precision,val_recall,learning_rate
1,0.5090726017951965,0.5047459602355957,0.6922851204872131,0.6944053173065186,0.9018790125846863,0.5996275544166565,0.5420875549316406,0.6074766516685486,0.661064624786377,0.0,0.6861335635185242,0.6861335635185242,0.6047618985176086,0.9921875,0.000699999975040555
2,0.6149193644523621,0.6261610984802246,0.6844730973243713,0.6812546253204346,0.8869183659553528,0.6480447053909302,0.7811447978019714,0.6355140209197998,0.6914970874786377,0.0,0.6667156219482422,0.6667156219482422,0.6712328791618347,0.765625,0.000699999975040555
3,0.6270161271095276,0.6572741866111755,0.6747875809669495,0.6596115827560425,0.8635654449462891,0.7267206311225891,0.6043770909309387,0.5233644843101501,0.6998546123504639,0.0,0.6641888618469238,0.6641888618469238,0.7954545617103577,0.2734375,0.000699999975040555
4,0.6280242204666138,0.6707633137702942,0.6668490767478943,0.648408830165863,0.8503075838088989,0.7368420958518982,0.5892255902290344,0.663551390171051,0.7164335250854492,0.0,0.6493430733680725,0.6493430733680725,0.6842105388641357,0.8125,0.000699999975040555
5,0.6582661271095276,0.7137751579284668,0.6535043120384216,0.6222115159034729,0.821392297744751,0.7485380172729492,0.6464646458625793,0.6682242751121521,0.729423999786377,0.0,0.6100588440895081,0.6100588440895081,0.7317073345184326,0.703125,0.000699999975040555
6,0.649193525314331,0.7178802490234375,0.6475945711135864,0.612533450126648,0.8103179335594177,0.7479838728904724,0.624579131603241,0.6869158744812012,0.7458212375640869,0.0,0.5997868180274963,0.5997868180274963,0.7606837749481201,0.6953125,0.000699999975040555
7,0.6683467626571655,0.732056736946106,0.6378747224807739,0.6036491990089417,0.7984341382980347,0.7743270993232727,0.6296296119689941,0.6822429895401001,0.7500454187393188,0.0,0.5924511551856995,0.5924511551856995,0.7727272510528564,0.6640625,0.000699999975040555
8,0.663306474685669,0.7365024089813232,0.6358286142349243,0.5931599736213684,0.788175642490387,0.7765957713127136,0.6144781112670898,0.6869158744812012,0.7599927186965942,0.0,0.5875763893127441,0.5875763893127441,0.769911527633667,0.6796875,0.000699999975040555
9,0.6683467626571655,0.7431411743164062,0.6276003122329712,0.5855133533477783,0.7780022621154785,0.7743270993232727,0.6296296119689941,0.663551390171051,0.7624455094337463,0.0,0.5852411389350891,0.5852411389350891,0.7641509175300598,0.6328125,0.000699999975040555
10,0.6713709831237793,0.7504251003265381,0.6239055395126343,0.5777313113212585,0.7695203423500061,0.7863247990608215,0.619528591632843,0.672897219657898,0.7535429000854492,0.0,0.5818036794662476,0.5818036794662476,0.7735849022865295,0.640625,0.000699999975040555
