epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.7953628897666931,0.8848028182983398,0.41209325194358826,0.9014373421669006,0.7390572428703308,0.7336448431015015,0.8278979063034058,0.49222254753112793,0.8086956739425659,0.7265625,9.999999747378752e-05
2,0.788306474685669,0.8858898282051086,0.4145019054412842,0.8809523582458496,0.747474730014801,0.7336448431015015,0.8228106498718262,0.5007637143135071,0.844660222530365,0.6796875,9.999999747378752e-05
3,0.7872983813285828,0.880059003829956,0.418501079082489,0.8932238221168518,0.7323232293128967,0.7289719581604004,0.8249909281730652,0.4947372078895569,0.8240740895271301,0.6953125,9.999999747378752e-05
4,0.7943548560142517,0.8838066458702087,0.41792789101600647,0.8884462118148804,0.7508417367935181,0.7242990732192993,0.8221293687820435,0.5016687512397766,0.822429895401001,0.6875,9.999999747378752e-05
5,0.7913306355476379,0.8878229260444641,0.4123140871524811,0.8757281303405762,0.7592592835426331,0.7383177280426025,0.823401153087616,0.5052515268325806,0.8600000143051147,0.671875,9.999999747378752e-05
6,0.78125,0.8802725672721863,0.4177752137184143,0.900212287902832,0.7138047218322754,0.7242990732192993,0.8249909281730652,0.4934046268463135,0.8165137767791748,0.6953125,9.999999747378752e-05
7,0.8165322542190552,0.9016547203063965,0.3937847316265106,0.9007782340049744,0.7794612646102905,0.7383177280426025,0.8218567967414856,0.5033153891563416,0.8461538553237915,0.6875,4.999999873689376e-05
8,0.788306474685669,0.885729193687439,0.41214999556541443,0.8779527544975281,0.7508417367935181,0.7289719581604004,0.823083221912384,0.5001605749130249,0.8301886916160583,0.6875,4.999999873689376e-05
9,0.7963709831237793,0.8871545791625977,0.410062700510025,0.8888888955116272,0.7542087435722351,0.7289719581604004,0.8212663531303406,0.5024867057800293,0.8301886916160583,0.6875,4.999999873689376e-05
10,0.8024193644523621,0.8865793943405151,0.41221776604652405,0.8948412537574768,0.7592592835426331,0.7289719581604004,0.8221747279167175,0.5019584894180298,0.8301886916160583,0.6875,4.999999873689376e-05
11,0.8094757795333862,0.8940070867538452,0.40183258056640625,0.9009901285171509,0.7659932374954224,0.7429906725883484,0.8216297030448914,0.5045979619026184,0.8613861203193665,0.6796875,4.999999873689376e-05
12,0.8024193644523621,0.8887704610824585,0.40964192152023315,0.9028339982032776,0.7508417367935181,0.7336448431015015,0.8223110437393188,0.5018035173416138,0.8380952477455139,0.6875,2.499999936844688e-05
13,0.7913306355476379,0.8869854211807251,0.4063294529914856,0.8989690542221069,0.7340067625045776,0.7336448431015015,0.8226743936538696,0.49997761845588684,0.8380952477455139,0.6875,2.499999936844688e-05
14,0.7973790168762207,0.8987128138542175,0.39345118403434753,0.890656054019928,0.7542087435722351,0.7336448431015015,0.823673665523529,0.4986574351787567,0.8317757248878479,0.6953125,2.499999936844688e-05
15,0.8074596524238586,0.8890623450279236,0.4048578441143036,0.8882466554641724,0.7760942578315735,0.7289719581604004,0.8232648968696594,0.4997587502002716,0.8301886916160583,0.6875,2.499999936844688e-05
