model,accuracy,precision,recall,specificity,balanced_accuracy,f1,f2,mcc,tp,tn,fp,fn
teacher_test,0.9112149532710281,0.9291338582677166,0.921875,0.8953488372093024,0.9086119186046512,0.9254901960784313,0.9233176838810639,0.8157061741477464,118,77,9,10
baseline_test,0.7336448598130841,0.8256880733944955,0.703125,0.7790697674418605,0.7410973837209303,0.7594936708860761,0.7246376811594204,0.4728994460001068,90,67,19,38
student_val,0.7009345794392523,0.6702127659574468,0.984375,0.27906976744186046,0.6317223837209303,0.7974683544303798,0.9000000000000001,0.3953467644401725,126,24,62,2
student_test,0.677570093457944,0.6577540106951871,0.9609375,0.2558139534883721,0.608375726744186,0.780952380952381,0.8798283261802575,0.32004684001343586,123,22,64,5
student_test_int8,0.677570093457944,0.6577540106951871,0.9609375,0.2558139534883721,0.608375726744186,0.780952380952381,0.8798283261802575,0.32004684001343586,123,22,64,5
