epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.6786912679672241,0.7896002531051636,0.6248210668563843,0.7617865800857544,0.5168350338935852,0.6796875,0.767578125,0.5782375335693359,0.8194444179534912,0.4609375,0.00019999999494757503
2,0.7265100479125977,0.8423096537590027,0.49782034754753113,0.7938596606254578,0.6094276309013367,0.71484375,0.809967041015625,0.5265468955039978,0.7835051417350769,0.59375,0.00019999999494757503
3,0.7701342105865479,0.8647398948669434,0.4666847288608551,0.8361344337463379,0.6700336933135986,0.73828125,0.83294677734375,0.49711036682128906,0.769911527633667,0.6796875,0.00019999999494757503
4,0.7684563994407654,0.8621048927307129,0.4528805613517761,0.8117647171020508,0.6969696879386902,0.76953125,0.832550048828125,0.4898574948310852,0.800000011920929,0.71875,0.00019999999494757503
5,0.7885906100273132,0.8819282650947571,0.43520504236221313,0.836614191532135,0.7154881954193115,0.75,0.837799072265625,0.4871289134025574,0.780701756477356,0.6953125,0.00019999999494757503
6,0.786912739276886,0.8775379061698914,0.4436887204647064,0.834645688533783,0.7138047218322754,0.74609375,0.833984375,0.48318934440612793,0.7404580116271973,0.7578125,0.00019999999494757503
7,0.7986577153205872,0.8881245851516724,0.4274696111679077,0.8289963006973267,0.7508417367935181,0.7734375,0.8519287109375,0.471196711063385,0.8181818127632141,0.703125,0.00019999999494757503
8,0.8020133972167969,0.8885580897331238,0.4255627691745758,0.8254545331001282,0.7643097639083862,0.76171875,0.850921630859375,0.46461057662963867,0.8130841255187988,0.6796875,0.00019999999494757503
9,0.7902684807777405,0.8769959807395935,0.43514180183410645,0.8307692408561707,0.7272727489471436,0.75390625,0.8486328125,0.46459096670150757,0.751937985420227,0.7578125,0.00019999999494757503
10,0.7835570573806763,0.8807007670402527,0.4250109791755676,0.7978723645210266,0.7575757503509521,0.77734375,0.848724365234375,0.4666505753993988,0.8317757248878479,0.6953125,0.00019999999494757503
11,0.801174521446228,0.8991067409515381,0.40738052129745483,0.8387096524238586,0.744107723236084,0.765625,0.84722900390625,0.4736924171447754,0.7786885499954224,0.7421875,0.00019999999494757503
12,0.8179529905319214,0.9102282524108887,0.38242629170417786,0.8446069359779358,0.7777777910232544,0.77734375,0.852325439453125,0.4669550657272339,0.8256880640983582,0.703125,9.999999747378752e-05
13,0.8078858852386475,0.9005270004272461,0.39719322323799133,0.8489483594894409,0.747474730014801,0.78125,0.851318359375,0.4682295322418213,0.8103448152542114,0.734375,9.999999747378752e-05
14,0.8196308612823486,0.9096497297286987,0.3890356421470642,0.8595825433731079,0.7626262903213501,0.7734375,0.848052978515625,0.46700215339660645,0.7966101765632629,0.734375,9.999999747378752e-05
15,0.8204697966575623,0.9036828279495239,0.3897419273853302,0.8454545736312866,0.7828282713890076,0.7734375,0.852691650390625,0.4657336175441742,0.8017241358757019,0.7265625,9.999999747378752e-05
16,0.8221476674079895,0.9043979644775391,0.40563511848449707,0.8447653651237488,0.7878788113594055,0.7734375,0.85772705078125,0.45554301142692566,0.7868852615356445,0.75,9.999999747378752e-05
17,0.8221476674079895,0.907876193523407,0.39184868335723877,0.8374558091163635,0.7979797720909119,0.7578125,0.8543701171875,0.457731157541275,0.7704917788505554,0.734375,9.999999747378752e-05
18,0.823825478553772,0.9089360237121582,0.3802126348018646,0.8453237414360046,0.7912458181381226,0.7578125,0.85174560546875,0.4645746052265167,0.75,0.7734375,9.999999747378752e-05
19,0.8171141147613525,0.9048202037811279,0.3890745937824249,0.839350163936615,0.7828282713890076,0.765625,0.851287841796875,0.46101635694503784,0.774193525314331,0.75,9.999999747378752e-05
20,0.8271812200546265,0.9125451445579529,0.38253054022789,0.8605948090553284,0.7794612646102905,0.765625,0.853790283203125,0.46736598014831543,0.7881355881690979,0.7265625,9.999999747378752e-05
21,0.8154362440109253,0.9079395532608032,0.3843648135662079,0.8327401876449585,0.7878788113594055,0.77734375,0.85443115234375,0.46591809391975403,0.7933884263038635,0.75,4.999999873689376e-05
22,0.8246644139289856,0.9125733375549316,0.37951916456222534,0.8709055781364441,0.7609427571296692,0.77734375,0.853973388671875,0.4684979021549225,0.8034188151359558,0.734375,4.999999873689376e-05
23,0.8313758373260498,0.9168905019760132,0.3681003153324127,0.8429319262504578,0.8131313323974609,0.765625,0.852264404296875,0.4669555723667145,0.7786885499954224,0.7421875,4.999999873689376e-05
24,0.8397650718688965,0.9215708374977112,0.363881379365921,0.8480138182640076,0.8265992999076843,0.76953125,0.8541259765625,0.46695274114608765,0.7851239442825317,0.7421875,4.999999873689376e-05
25,0.8406040072441101,0.923931360244751,0.3584991693496704,0.8726937174797058,0.7962962985038757,0.765625,0.853607177734375,0.46891695261001587,0.7881355881690979,0.7265625,2.499999936844688e-05
26,0.8498322367668152,0.9193552136421204,0.36917978525161743,0.8698752522468567,0.8215488195419312,0.7734375,0.851470947265625,0.47160258889198303,0.8017241358757019,0.7265625,2.499999936844688e-05
27,0.8288590312004089,0.9209697246551514,0.36566516757011414,0.8571428656578064,0.7878788113594055,0.76171875,0.85107421875,0.4701484441757202,0.7768595218658447,0.734375,2.499999936844688e-05
28,0.833053708076477,0.9194241762161255,0.36719194054603577,0.8623853325843811,0.7912458181381226,0.75,0.85125732421875,0.47063881158828735,0.7580645084381104,0.734375,2.499999936844688e-05
