epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.5872483253479004,0.631026029586792,0.6765127182006836,0.5876288414001465,0.5757575631141663,0.5078125,0.71343994140625,0.6889085173606873,0.75,0.0234375,0.000699999975040555
2,0.6426174640655518,0.7159498929977417,0.6139094233512878,0.6438356041908264,0.6329966187477112,0.52734375,0.714813232421875,0.6765026450157166,0.8181818127632141,0.0703125,0.000699999975040555
3,0.6770133972167969,0.7767882347106934,0.5545626282691956,0.6738768815994263,0.6818181872367859,0.50390625,0.69854736328125,0.6663591265678406,0.6000000238418579,0.0234375,0.000699999975040555
4,0.7013422846794128,0.7955868244171143,0.5409530997276306,0.701694905757904,0.6969696879386902,0.609375,0.724090576171875,0.6488503813743591,0.8684210777282715,0.2578125,0.000699999975040555
5,0.6870805621147156,0.782248318195343,0.5433407425880432,0.6948853731155396,0.6632996797561646,0.5625,0.686676025390625,0.6487296223640442,0.8333333134651184,0.15625,0.000699999975040555
6,0.7197986841201782,0.8114084005355835,0.5177104473114014,0.7241379022598267,0.7070707082748413,0.6328125,0.768646240234375,0.6282282471656799,0.8148148059844971,0.34375,0.000699999975040555
7,0.7298657894134521,0.8275030255317688,0.49601104855537415,0.7437276244163513,0.6986532211303711,0.66015625,0.7554931640625,0.6172014474868774,0.8059701323509216,0.421875,0.000699999975040555
8,0.7315436005592346,0.8311557769775391,0.48810476064682007,0.7216828465461731,0.7508417367935181,0.671875,0.785552978515625,0.5792893171310425,0.6571428775787354,0.71875,0.000699999975040555
9,0.7340604066848755,0.8313063383102417,0.4920874536037445,0.731218695640564,0.7373737096786499,0.71484375,0.80810546875,0.5322511196136475,0.7235772609710693,0.6953125,0.000699999975040555
10,0.7399328947067261,0.8317947387695312,0.49388423562049866,0.7535714507102966,0.7104377150535583,0.6953125,0.82476806640625,0.49711817502975464,0.6689189076423645,0.7734375,0.000699999975040555
11,0.7525168061256409,0.8420099020004272,0.48875370621681213,0.7723132967948914,0.7138047218322754,0.70703125,0.808380126953125,0.5216478109359741,0.7523809671401978,0.6171875,0.000699999975040555
12,0.7491610646247864,0.8583831787109375,0.45292365550994873,0.748735249042511,0.747474730014801,0.70703125,0.800262451171875,0.5165910720825195,0.7849462628364563,0.5703125,0.000699999975040555
13,0.7458053827285767,0.8598119020462036,0.44413116574287415,0.7530434727668762,0.7289562225341797,0.6640625,0.79498291015625,0.5590962767601013,0.7058823704719543,0.5625,0.000699999975040555
14,0.7491610646247864,0.8596781492233276,0.4451240301132202,0.7583187222480774,0.7289562225341797,0.6875,0.814239501953125,0.5198898315429688,0.6499999761581421,0.8125,0.000699999975040555
15,0.7592281699180603,0.8635716438293457,0.4464688301086426,0.7632933259010315,0.7491582632064819,0.7109375,0.822662353515625,0.5149310231208801,0.6849315166473389,0.78125,0.0003499999875202775
16,0.7776845693588257,0.8865565061569214,0.40924468636512756,0.7891036868095398,0.755892276763916,0.703125,0.82470703125,0.5375496745109558,0.6911764740943909,0.734375,0.0003499999875202775
17,0.7642617225646973,0.8756418228149414,0.4281787872314453,0.7789661288261414,0.7356902360916138,0.70703125,0.818267822265625,0.5212763547897339,0.7022900581359863,0.71875,0.0003499999875202775
18,0.7852349281311035,0.8827573657035828,0.42045876383781433,0.8007117509841919,0.7575757503509521,0.71484375,0.819915771484375,0.526153564453125,0.7200000286102295,0.703125,0.0003499999875202775
19,0.7894295454025269,0.8887326717376709,0.4163375496864319,0.8146789073944092,0.747474730014801,0.71484375,0.822174072265625,0.5293545126914978,0.7037037014961243,0.7421875,0.00017499999376013875
20,0.7927852272987366,0.8910101652145386,0.4060949683189392,0.8160291314125061,0.7542087435722351,0.7109375,0.820953369140625,0.5319674015045166,0.7014925479888916,0.734375,0.00017499999376013875
21,0.7902684807777405,0.8953259587287903,0.40308424830436707,0.8082437515258789,0.7592592835426331,0.69921875,0.821014404296875,0.539577305316925,0.6861313581466675,0.734375,0.00017499999376013875
22,0.7885906100273132,0.8915478587150574,0.404496967792511,0.800000011920929,0.7676767706871033,0.703125,0.825653076171875,0.5345600247383118,0.6911764740943909,0.734375,0.00017499999376013875
23,0.8087248206138611,0.9062249660491943,0.38383764028549194,0.8091216087341309,0.8063973188400269,0.71875,0.828277587890625,0.540168046951294,0.6944444179534912,0.78125,0.00017499999376013875
24,0.7911073565483093,0.8994994759559631,0.390182226896286,0.8021015524864197,0.7710437774658203,0.70703125,0.8267822265625,0.540129542350769,0.6934306621551514,0.7421875,0.00017499999376013875
25,0.7986577153205872,0.8968532085418701,0.3998245596885681,0.8041236996650696,0.7878788113594055,0.70703125,0.824859619140625,0.540396511554718,0.6934306621551514,0.7421875,0.00017499999376013875
26,0.7852349281311035,0.8953469395637512,0.3903549611568451,0.7996453642845154,0.7592592835426331,0.73046875,0.829803466796875,0.5446429252624512,0.7092198729515076,0.78125,0.00017499999376013875
27,0.8078858852386475,0.9056239724159241,0.3849189877510071,0.8312159776687622,0.7710437774658203,0.70703125,0.824066162109375,0.5408779978752136,0.6934306621551514,0.7421875,0.00017499999376013875
28,0.801174521446228,0.9015728235244751,0.39497053623199463,0.8336448669433594,0.7508417367935181,0.6875,0.813690185546875,0.5384576320648193,0.6818181872367859,0.703125,0.00017499999376013875
29,0.7969798445701599,0.902641236782074,0.3882707357406616,0.8109540343284607,0.7727272510528564,0.6953125,0.815338134765625,0.5523977279663086,0.6865671873092651,0.71875,0.00017499999376013875
30,0.7894295454025269,0.9032436609268188,0.3819374144077301,0.8135283589363098,0.7491582632064819,0.69140625,0.81939697265625,0.5442157983779907,0.6814814805984497,0.71875,0.00017499999376013875
31,0.8095637559890747,0.9018741250038147,0.3887333869934082,0.825932502746582,0.7828282713890076,0.703125,0.82080078125,0.5374333262443542,0.6940298676490784,0.7265625,8.749999688006938e-05
32,0.7994966506958008,0.9004946947097778,0.3896936774253845,0.8152753114700317,0.7727272510528564,0.6953125,0.8209228515625,0.5364325046539307,0.692307710647583,0.703125,8.749999688006938e-05
33,0.8078858852386475,0.91623455286026,0.3682507276535034,0.8324226140975952,0.7693602442741394,0.72265625,0.824859619140625,0.5312181711196899,0.7111111283302307,0.75,8.749999688006938e-05
34,0.8053691387176514,0.9080309867858887,0.3836285173892975,0.826714813709259,0.7710437774658203,0.7109375,0.824676513671875,0.5346077084541321,0.695652186870575,0.75,8.749999688006938e-05
35,0.7978187799453735,0.9045288562774658,0.37921759486198425,0.802744448184967,0.7878788113594055,0.7109375,0.82415771484375,0.5385868549346924,0.6985294222831726,0.7421875,4.374999844003469e-05
36,0.811241626739502,0.9126507043838501,0.3713568150997162,0.8336347341537476,0.7760942578315735,0.71484375,0.82818603515625,0.5375388860702515,0.695035457611084,0.765625,4.374999844003469e-05
37,0.8045302033424377,0.9135192632675171,0.36850541830062866,0.8128249645233154,0.7895622849464417,0.7109375,0.82769775390625,0.5376262068748474,0.695652186870575,0.75,4.374999844003469e-05
38,0.801174521446228,0.9042895436286926,0.3854927718639374,0.8181818127632141,0.7727272510528564,0.71875,0.8284912109375,0.543901264667511,0.699999988079071,0.765625,4.374999844003469e-05
39,0.8028523325920105,0.9061068296432495,0.3787200152873993,0.8165785074234009,0.7794612646102905,0.7109375,0.825653076171875,0.5467994809150696,0.695652186870575,0.75,2.1874999220017344e-05
40,0.811241626739502,0.9147452712059021,0.36793601512908936,0.8312388062477112,0.7794612646102905,0.7109375,0.826507568359375,0.5477853417396545,0.695652186870575,0.75,2.1874999220017344e-05
