model,test_acc,params,size_mb,macs,latency_ms,fps,power_mw,weight_kb,peak_activation_kb,bytes_moved_kb,model_viability
fc_tiny,0.6,1180292,4.5024566650390625,1180160.0,39.33866666666667,25.420281995661604,28.654506666666666,4610.515625,36.0,4648.53125,NO
fc_small,0.5909090909090909,2376260,9.064712524414062,2375936.0,79.19786666666667,12.626602736774053,37.423530666666665,9282.265625,36.0,9323.28125,NO
cnn_tiny,0.6727272727272727,295572,1.1275177001953125,1290496.0,43.016533333333335,23.246875619916683,29.463637333333335,1154.578125,144.0,2163.59375,NO
cnn_gap,0.5,1572,0.0059967041015625,1668176.0,55.60586666666667,17.983713948648102,32.23329066666667,6.140625,144.0,1158.28125,OK
cnn_skip_pool,0.6681818181818182,14060,0.0536346435546875,818496.0,27.2832,36.65259207131128,26.002304000000002,54.921875,36.0,555.5625,OK
