epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.5927419066429138,0.6409763693809509,0.6773269772529602,0.6899999976158142,0.5808081030845642,0.4112149477005005,0.5625,0.7066921591758728,1.0,0.015625,0.000699999975040555
2,0.6280242204666138,0.7186542749404907,0.616655707359314,0.8032345175743103,0.5016834735870361,0.5093457698822021,0.5476017594337463,0.6873965859413147,0.8285714387893677,0.2265625,0.000699999975040555
3,0.6592742204666138,0.7266932129859924,0.5923303961753845,0.8168317079544067,0.5555555820465088,0.47663551568984985,0.5415606498718262,0.7037109136581421,0.7857142686843872,0.171875,0.000699999975040555
4,0.6360887289047241,0.7396557927131653,0.5907887816429138,0.8157181739807129,0.5067340135574341,0.5654205679893494,0.6057866811752319,0.6869848370552063,0.7058823704719543,0.46875,0.000699999975040555
5,0.6643145084381104,0.7516539096832275,0.5674538016319275,0.7636363506317139,0.6363636255264282,0.5280373692512512,0.6413971185684204,0.7010186910629272,0.7755101919174194,0.296875,0.000699999975040555
6,0.6703628897666931,0.7689753770828247,0.5579830408096313,0.8156028389930725,0.5808081030845642,0.5233644843101501,0.6560683250427246,0.6891183853149414,0.7599999904632568,0.296875,0.000699999975040555
7,0.6673387289047241,0.7576540112495422,0.5743104219436646,0.8529411554336548,0.5370370149612427,0.43457943201065063,0.6192314624786377,0.7485719919204712,0.6129032373428345,0.1484375,0.000699999975040555
8,0.6875,0.7902814149856567,0.5374374389648438,0.8463414907455444,0.5841751098632812,0.5934579372406006,0.6607012748718262,0.6500298976898193,0.8360655903816223,0.3984375,0.000699999975040555
9,0.6764112710952759,0.792762279510498,0.5355474352836609,0.8979591727256775,0.5185185074806213,0.6074766516685486,0.6880905032157898,0.6500539183616638,0.8235294222831726,0.4375,0.000699999975040555
10,0.7006048560142517,0.8054794073104858,0.5215592980384827,0.8595641851425171,0.5976430773735046,0.6401869058609009,0.7288335561752319,0.5917083024978638,0.7865168452262878,0.546875,0.000699999975040555
11,0.6733871102333069,0.7839322686195374,0.5440026521682739,0.8708791136741638,0.5336700081825256,0.663551390171051,0.751362681388855,0.5926851034164429,0.8333333134651184,0.546875,0.000699999975040555
12,0.680443525314331,0.7962730526924133,0.5193207263946533,0.8693333268165588,0.5488215684890747,0.663551390171051,0.7609012126922607,0.5571174025535583,0.8333333134651184,0.546875,0.000699999975040555
13,0.6895161271095276,0.8106081485748291,0.51611328125,0.8823529481887817,0.5555555820465088,0.6261682510375977,0.7441860437393188,0.5892311334609985,0.8243243098258972,0.4765625,0.000699999975040555
14,0.6794354915618896,0.8061688542366028,0.5147743225097656,0.875,0.5420875549316406,0.6542056202888489,0.7684865593910217,0.5643611550331116,0.8857142925262451,0.484375,0.000699999975040555
15,0.7026209831237793,0.8205294609069824,0.49859654903411865,0.8923884630203247,0.5723905563354492,0.65887850522995,0.7719839811325073,0.5613120794296265,0.9365079402923584,0.4609375,0.000699999975040555
16,0.6834677457809448,0.8090981245040894,0.5197681188583374,0.8783783912658691,0.5471380352973938,0.677570104598999,0.7635810375213623,0.574571430683136,0.8734177350997925,0.5390625,0.000699999975040555
17,0.7026209831237793,0.8266056776046753,0.4935655891895294,0.8944591283798218,0.5707070827484131,0.6869158744812012,0.7788426280021667,0.5979112386703491,0.8279569745063782,0.6015625,0.000699999975040555
18,0.7147177457809448,0.8479349613189697,0.46678024530410767,0.912466824054718,0.5791245698928833,0.672897219657898,0.7877907156944275,0.5546362400054932,0.8815789222717285,0.5234375,0.000699999975040555
19,0.694556474685669,0.8315271139144897,0.48235753178596497,0.9008264541625977,0.5505050420761108,0.6869158744812012,0.7684865593910217,0.5699353218078613,0.8351648449897766,0.59375,0.000699999975040555
20,0.7207661271095276,0.8482586145401001,0.4686794579029083,0.895261824131012,0.6043770909309387,0.6915887594223022,0.7856104373931885,0.6035983562469482,0.8444444537162781,0.59375,0.000699999975040555
21,0.7147177457809448,0.8511031866073608,0.4634896218776703,0.9102902412414551,0.5808081030845642,0.6915887594223022,0.7803870439529419,0.6037492752075195,0.8163265585899353,0.625,0.000699999975040555
