epoch,train_loss,val_loss,val_acc,model
1,1.4349063977951995,1.1267339140810866,0.5063829787234042,fc_tiny
2,1.1892515135014063,1.0759986428504293,0.5170212765957447,fc_tiny
3,1.0886588923556195,1.1461583089321217,0.5085106382978724,fc_tiny
4,1.0939412724993485,1.0619082539639575,0.5638297872340425,fc_tiny
5,1.0507479701247733,1.0339074231208638,0.5234042553191489,fc_tiny
6,1.04763739508575,1.0546468623141025,0.5446808510638298,fc_tiny
7,1.0365746875350665,1.0427933713223072,0.5361702127659574,fc_tiny
8,1.0298466493523186,1.0307608670376718,0.5212765957446809,fc_tiny
9,1.0102140823131485,1.007684029416835,0.5659574468085107,fc_tiny
10,1.003442768986904,1.0092663978008514,0.5659574468085107,fc_tiny
11,1.0150248848747758,1.009320067091191,0.5382978723404256,fc_tiny
12,0.985616537029264,1.036338537550987,0.5404255319148936,fc_tiny
13,0.9681943386123625,1.013583608383828,0.5680851063829787,fc_tiny
14,0.9512172301899829,0.9935061201136163,0.5361702127659574,fc_tiny
15,0.956002374309153,1.0165324464757393,0.5361702127659574,fc_tiny
16,0.9313498557373908,1.1109151954346514,0.5319148936170213,fc_tiny
17,0.970671640284943,0.9969039343773051,0.5829787234042553,fc_tiny
18,0.9413821911116984,0.9923681459528335,0.5531914893617021,fc_tiny
19,0.8995306239970612,1.035396238083535,0.5659574468085107,fc_tiny
20,0.8886490239471686,1.0366525908733937,0.5446808510638298,fc_tiny
1,1.2637594485181567,1.133977192767123,0.5319148936170213,fc_small
2,1.1454836742474082,1.0926890875430817,0.5085106382978724,fc_small
3,1.115914870046744,1.0604270196975545,0.5319148936170213,fc_small
4,1.087269177926115,1.0250666529574293,0.574468085106383,fc_small
5,1.0783712444482025,1.0597767393639748,0.5787234042553191,fc_small
6,1.0749785383325239,1.0997718197234134,0.5170212765957447,fc_small
7,1.0602512579653287,1.0801143798422306,0.5191489361702127,fc_small
8,1.0504743911022842,0.9977427718487192,0.5595744680851064,fc_small
9,1.0571322087888364,1.0448938605633187,0.5276595744680851,fc_small
10,1.0543423847639712,1.0002900214905435,0.5255319148936171,fc_small
11,1.046514577263402,1.0226145328359402,0.5808510638297872,fc_small
12,1.026988162079506,1.0186015225471334,0.5829787234042553,fc_small
13,1.0075876691808974,1.0077956095654914,0.5425531914893617,fc_small
14,1.011638229879091,1.0350207442932942,0.5425531914893617,fc_small
15,1.010530159121654,0.9939321241480239,0.5851063829787234,fc_small
16,0.9914114298281991,0.9915464000498995,0.5595744680851064,fc_small
17,0.997808278656469,0.9740225931431384,0.5723404255319149,fc_small
18,0.9717252918931304,0.9797432305965018,0.551063829787234,fc_small
19,1.0031117319554073,1.001513777387903,0.5617021276595745,fc_small
20,0.9739164616675108,0.992895771341121,0.5617021276595745,fc_small
1,1.202308011402415,1.0697516859845912,0.5893617021276596,cnn_tiny
2,1.044372582406656,0.9753929232029205,0.5468085106382978,cnn_tiny
3,0.9572843253865847,0.987305360398394,0.5808510638297872,cnn_tiny
4,0.8982177651427917,0.9003871101014158,0.6297872340425532,cnn_tiny
5,0.8209513504358951,0.8445068473511553,0.6680851063829787,cnn_tiny
6,0.7723632311198518,0.865919588728154,0.6617021276595745,cnn_tiny
7,0.713868143345706,0.817192401277258,0.6382978723404256,cnn_tiny
8,0.6703512176427975,0.8370468720476678,0.6510638297872341,cnn_tiny
9,0.6126512185906234,0.7952479136751053,0.7021276595744681,cnn_tiny
10,0.5772763945944901,0.7939841805620397,0.6978723404255319,cnn_tiny
11,0.5382722604253036,0.81827697931452,0.6936170212765957,cnn_tiny
12,0.5037437874527504,0.8492940113899555,0.6680851063829787,cnn_tiny
13,0.4680184580625443,0.8077609843396126,0.6829787234042554,cnn_tiny
14,0.4251438367887924,0.8587377771418145,0.6808510638297872,cnn_tiny
15,0.40436351118336755,0.8872358882680852,0.7,cnn_tiny
16,0.38213732082263296,0.8864707152894202,0.6957446808510638,cnn_tiny
17,0.34190786612272694,0.8609001900287385,0.7170212765957447,cnn_tiny
18,0.3279633288609308,0.8905409376671973,0.6872340425531915,cnn_tiny
19,0.3066857430199529,0.9350471808555278,0.6872340425531915,cnn_tiny
20,0.3007785279821756,0.9188648563750247,0.7063829787234043,cnn_tiny
1,1.34042899957482,1.2735822738485134,0.4085106382978723,cnn_gap
2,1.2694776369429532,1.2731350249432503,0.4085106382978723,cnn_gap
3,1.26733424979119,1.2687461102262456,0.4085106382978723,cnn_gap
4,1.2666485913970937,1.2672128931004951,0.4085106382978723,cnn_gap
5,1.2630993433265014,1.2669274487393967,0.4085106382978723,cnn_gap
