model,accuracy,precision,recall,specificity,balanced_accuracy,f1,f2,mcc,tp,tn,fp,fn
teacher_test,0.9112149532710281,0.9291338582677166,0.921875,0.8953488372093024,0.9086119186046512,0.9254901960784313,0.9233176838810639,0.8157061741477464,118,77,9,10
baseline_test,0.7336448598130841,0.8256880733944955,0.703125,0.7790697674418605,0.7410973837209303,0.7594936708860761,0.7246376811594204,0.4728994460001068,90,67,19,38
student_val,0.7757009345794392,0.8225806451612904,0.796875,0.7441860465116279,0.770530523255814,0.8095238095238094,0.8018867924528301,0.5373637689343915,102,64,22,26
student_test,0.7476635514018691,0.8363636363636363,0.71875,0.7906976744186046,0.7547238372093024,0.7731092436974789,0.7395498392282958,0.49973616799228143,92,68,18,36
student_test_int8,0.7616822429906542,0.8407079646017699,0.7421875,0.7906976744186046,0.7664425872093024,0.7883817427385892,0.76,0.5233448316068554,95,68,18,33
