model,accuracy,precision,recall,specificity,balanced_accuracy,f1,f2,mcc,tp,tn,fp,fn
teacher_test,0.9112149532710281,0.9291338582677166,0.921875,0.8953488372093024,0.9086119186046512,0.9254901960784313,0.9233176838810639,0.8157061741477464,118,77,9,10
baseline_test,0.7336448598130841,0.8256880733944955,0.703125,0.7790697674418605,0.7410973837209303,0.7594936708860761,0.7246376811594204,0.4728994460001068,90,67,19,38
student_val,0.7523364485981309,0.7952755905511811,0.7890625,0.6976744186046512,0.7433684593023255,0.7921568627450981,0.7902973395931143,0.4858330014543825,101,60,26,27
student_test,0.7523364485981309,0.8151260504201681,0.7578125,0.7441860465116279,0.750999273255814,0.7854251012145749,0.7686212361331219,0.4953605157005395,97,64,22,31
student_test_int8,0.7523364485981309,0.8151260504201681,0.7578125,0.7441860465116279,0.750999273255814,0.7854251012145749,0.7686212361331219,0.4953605157005395,97,64,22,31
