model,epoch,loss,accuracy,val_loss,val_accuracy
cnn_skip_pool_tf,1,1.2488058805465698,0.4250151813030243,1.1567925214767456,0.563829779624939
cnn_skip_pool_tf,2,1.0923817157745361,0.5482695698738098,0.9797874689102173,0.5574468374252319
cnn_skip_pool_tf,3,0.9677944183349609,0.6023072004318237,0.8938597440719604,0.6361702084541321
cnn_skip_pool_tf,4,0.8706313967704773,0.6387370824813843,0.8395357131958008,0.6531915068626404
cnn_skip_pool_tf,5,0.8322139978408813,0.6624165177345276,0.8418671488761902,0.6574468016624451
cnn_skip_pool_tf,6,0.7929054498672485,0.6757741570472717,0.7657840847969055,0.7170212864875793
cnn_skip_pool_tf,7,0.7651379704475403,0.6873102784156799,0.7775598168373108,0.7042553424835205
cnn_skip_pool_tf,8,0.7332877516746521,0.7012750506401062,0.7271849513053894,0.7234042286872864
cnn_skip_pool_tf,9,0.6987335681915283,0.7213114500045776,0.770967960357666,0.7127659320831299
cnn_skip_pool_tf,10,0.6616384387016296,0.7292045950889587,0.7214285731315613,0.7297872304916382
cnn_skip_pool_tf,11,0.652813732624054,0.7352762818336487,0.7608634829521179,0.7042553424835205
cnn_skip_pool_tf,12,0.646207869052887,0.7316332459449768,0.7550705671310425,0.6787233948707581
cnn_skip_pool_tf,13,0.5975716710090637,0.7595628499984741,0.6929568648338318,0.7468085289001465
cnn_skip_pool_tf,14,0.5654462575912476,0.7814207673072815,0.7022488117218018,0.7234042286872864
cnn_skip_pool_tf,15,0.5480659604072571,0.7717061042785645,0.693504273891449,0.7255319356918335
cnn_skip_pool_tf,16,0.5413800477981567,0.7783849239349365,0.7172132730484009,0.7021276354789734
cnn_skip_pool_tf,17,0.5279823541641235,0.7899210453033447,0.7340512275695801,0.7255319356918335
cnn_skip_pool_tf,18,0.5004438161849976,0.7947784066200256,0.6807180643081665,0.7531914710998535
cnn_skip_pool_tf,19,0.4889010787010193,0.8020643591880798,0.6726449728012085,0.7617021203041077
cnn_skip_pool_tf,20,0.48321333527565,0.8087431788444519,0.6867204308509827,0.7340425252914429
cnn_skip_pool_tf_qat,1,0.4532856345176697,0.8275652527809143,0.6952574253082275,0.7531914710998535
cnn_skip_pool_tf_qat,2,0.4222888648509979,0.8391013741493225,0.6861787438392639,0.7553191781044006
cnn_skip_pool_tf_qat,3,0.4165138602256775,0.8336369395256042,0.6755205392837524,0.757446825504303
cnn_skip_pool_tf_qat,4,0.41376540064811707,0.8324226140975952,0.6945822238922119,0.7680851221084595
cnn_skip_pool_tf_qat,5,0.4127883315086365,0.8378870487213135,0.6918232440948486,0.7468085289001465
