epoch,accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
1,0.7807061076164246,0.6613807678222656,0.9172271490097046,0.9683453440666199,0.6163003444671631,0.8796181678771973,0.8842105269432068,0.4024754464626312,0.9693747758865356,0.9739583134651184,0.8274336457252502,0.9479945302009583,9.999999747378752e-05
2,0.7732471227645874,0.6385666131973267,0.922652542591095,0.9789156913757324,0.5952380895614624,0.8851599097251892,0.8763157725334167,0.3956332504749298,0.9699102640151978,0.9685863852500916,0.8185840845108032,0.9485260248184204,9.999999747378752e-05
3,0.7777225375175476,0.6469972729682922,0.9153345823287964,0.9820627570152283,0.6016483306884766,0.8726497888565063,0.8736842274665833,0.3956252336502075,0.9680798649787903,0.9635416865348816,0.8185840845108032,0.9438139200210571,9.999999747378752e-05
4,0.7797116041183472,0.6426945924758911,0.9182674884796143,0.9807407259941101,0.6062270998954773,0.8797805309295654,0.8763157725334167,0.394192099571228,0.9682214260101318,0.9637305736541748,0.8230088353157043,0.9449775218963623,9.999999747378752e-05
5,0.7792143225669861,0.6338382363319397,0.9215034246444702,0.9821428656578064,0.6043956279754639,0.8845058083534241,0.8657894730567932,0.4024958610534668,0.9674293398857117,0.9679144620895386,0.8008849620819092,0.9427222013473511,9.999999747378752e-05
6,0.7871705889701843,0.6165568232536316,0.9261796474456787,0.9896755218505859,0.6144688725471497,0.8891493082046509,0.8815789222717285,0.4062862992286682,0.967144250869751,0.994535505771637,0.8053097128868103,0.9408544301986694,9.999999747378752e-05
7,0.7886623740196228,0.6176434755325317,0.9257689714431763,0.98124098777771,0.622710645198822,0.8871021270751953,0.871052622795105,0.393998384475708,0.9665155410766602,0.9732620120048523,0.8053097128868103,0.9386996030807495,9.999999747378752e-05
8,0.7817006707191467,0.6194107532501221,0.9239896535873413,0.9837037324905396,0.6080586314201355,0.8867563009262085,0.8736842274665833,0.39594295620918274,0.9660937190055847,0.9784946441650391,0.8053097128868103,0.9373635649681091,4.999999873689376e-05
9,0.7911486625671387,0.6116417050361633,0.9274677634239197,0.9841498732566833,0.6254578828811646,0.891252338886261,0.871052622795105,0.38404425978660583,0.96844482421875,0.9682539701461792,0.8097345232963562,0.9440869092941284,4.999999873689376e-05
10,0.7856787443161011,0.602371335029602,0.9316853880882263,0.9867452383041382,0.6135531067848206,0.8972594738006592,0.871052622795105,0.39784690737724304,0.967233419418335,0.9732620120048523,0.8053097128868103,0.9416877031326294,4.999999873689376e-05
