epoch,accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
1,0.5177304744720459,0.9637882709503174,0.8351899981498718,0.8628692030906677,0.37454211711883545,0.6913869380950928,0.40526315569877625,0.7759194374084473,0.8200265169143677,0.0,0.0,0.703209400177002,0.0006000000284984708
2,0.5512572526931763,0.8800872564315796,0.8754630088806152,0.9142259359359741,0.40018314123153687,0.7494722604751587,0.40526315569877625,0.7678555250167847,0.8134629726409912,0.0,0.0,0.7328181266784668,0.0006000000284984708
3,0.6118633151054382,0.8156446218490601,0.9038100838661194,0.9253472089767456,0.488095223903656,0.7928497791290283,0.6342105269432068,0.7267521619796753,0.883263111114502,0.9780219793319702,0.39380529522895813,0.8128376007080078,0.0006000000284984708
4,0.6266924738883972,0.8123838305473328,0.9049150347709656,0.9211822748184204,0.5137362480163574,0.7951221466064453,0.4131578803062439,0.8220015168190002,0.9319839477539062,1.0,0.013274336233735085,0.8847545981407166,0.0006000000284984708
5,0.640876829624176,0.768987774848938,0.9201955199241638,0.9335494041442871,0.5274725556373596,0.8200758695602417,0.47894737124443054,0.9219046235084534,0.8892433047294617,1.0,0.12389380484819412,0.8280801177024841,0.0006000000284984708
6,0.6486138105392456,0.7700099945068359,0.919812798500061,0.9476268291473389,0.5302197933197021,0.8243863582611084,0.5368421077728271,0.7405109405517578,0.8515142202377319,1.0,0.22123894095420837,0.7878260612487793,0.0006000000284984708
7,0.6679561734199524,0.7446382641792297,0.9259690046310425,0.9248895645141602,0.5750916004180908,0.830056369304657,0.5789473652839661,0.6868461966514587,0.9305995106697083,1.0,0.29203540086746216,0.8940351009368896,0.0006000000284984708
8,0.6266924738883972,0.7545130848884583,0.923979640007019,0.9555950164794922,0.49267399311065674,0.8285441398620605,0.6868420839309692,0.5981810092926025,0.9439591765403748,0.9572649598121643,0.4955752193927765,0.9135012626647949,0.0006000000284984708
9,0.6653771996498108,0.7259819507598877,0.9318898320198059,0.9455676674842834,0.5567765831947327,0.8449707627296448,0.8394736647605896,0.4578512907028198,0.9534414410591125,0.9274611473083496,0.7920354008674622,0.916862964630127,0.0006000000284984708
10,0.6898775100708008,0.7118207216262817,0.9366205930709839,0.9566517472267151,0.5860806107521057,0.85481858253479,0.8315789699554443,0.47834938764572144,0.9570331573486328,0.9602272510528564,0.747787594795227,0.9268044233322144,0.0006000000284984708
