epoch,accuracy,auc,distillation_loss,hard_loss,loss,precision,recall,val_accuracy,val_auc,val_distillation_loss,val_hard_loss,val_loss,val_precision,val_recall,learning_rate
1,0.49395161867141724,0.5054946541786194,0.6924922466278076,0.694352388381958,0.9019140601158142,0.5905511975288391,0.5050504803657532,0.6028037667274475,0.6645621061325073,0.0,0.685904324054718,0.685904324054718,0.6048780679702759,0.96875,0.000699999975040555
2,0.5856854915618896,0.6132619976997375,0.6866071224212646,0.6819513440132141,0.8883989453315735,0.6527546048164368,0.6582491397857666,0.5607476830482483,0.685546875,0.0,0.6711038947105408,0.6711038947105408,0.8399999737739563,0.328125,0.000699999975040555
3,0.6340726017951965,0.6661908030509949,0.6743828058242798,0.659395158290863,0.8632088303565979,0.7158878445625305,0.6447811722755432,0.6401869058609009,0.7094385623931885,0.0,0.6380208134651184,0.6380208134651184,0.7297297120094299,0.6328125,0.000699999975040555
4,0.6542338728904724,0.6967899203300476,0.6617195010185242,0.6305830478668213,0.8322124481201172,0.7631027102470398,0.6127946376800537,0.65887850522995,0.7291515469551086,0.0,0.6210636496543884,0.6210636496543884,0.713178277015686,0.71875,0.000699999975040555
5,0.6481854915618896,0.7027286887168884,0.64911949634552,0.6254375576972961,0.8225417733192444,0.7611940503120422,0.6010100841522217,0.6028037667274475,0.7276071906089783,0.0,0.6328454613685608,0.6328454613685608,0.8115941882133484,0.4375,0.000699999975040555
6,0.6592742204666138,0.737949013710022,0.643683910369873,0.5980386137962341,0.795708417892456,0.774678111076355,0.6077440977096558,0.65887850522995,0.7483648061752319,0.0,0.5968160629272461,0.5968160629272461,0.752293586730957,0.640625,0.000699999975040555
7,0.6602822542190552,0.7268856763839722,0.6392340064048767,0.6053107380867004,0.8004732728004456,0.7763440608978271,0.6077440977096558,0.6962617039680481,0.7487736344337463,0.0,0.6100241541862488,0.6100241541862488,0.7333333492279053,0.7734375,0.000699999975040555
8,0.6622983813285828,0.735419511795044,0.6402239799499512,0.5974592566490173,0.7938027381896973,0.773784339427948,0.6161616444587708,0.65887850522995,0.7514534592628479,0.0,0.5972391963005066,0.5972391963005066,0.8021978139877319,0.5703125,0.000699999975040555
9,0.6592742204666138,0.7467789053916931,0.6284717917442322,0.5865675210952759,0.7792996764183044,0.7700421810150146,0.6144781112670898,0.6822429895401001,0.7549055218696594,0.0,0.5858298540115356,0.5858298540115356,0.7631579041481018,0.6796875,0.000699999975040555
10,0.6622983813285828,0.7489171624183655,0.6313056349754333,0.5824052691459656,0.7766870856285095,0.773784339427948,0.6161616444587708,0.6822429895401001,0.7614008188247681,0.0,0.5780786275863647,0.5780786275863647,0.7678571343421936,0.671875,0.000699999975040555
11,0.6693548560142517,0.7547692060470581,0.625604510307312,0.5738825798034668,0.7667362093925476,0.7942478060722351,0.6043770909309387,0.6542056202888489,0.766215443611145,0.0,0.5768839120864868,0.5768839120864868,0.7699999809265137,0.6015625,0.000699999975040555
12,0.6814516186714172,0.7561502456665039,0.6235867738723755,0.5741591453552246,0.7661778926849365,0.8008658289909363,0.6228955984115601,0.6822429895401001,0.7716206908226013,0.0,0.5798826217651367,0.5798826217651367,0.7631579041481018,0.6796875,0.000699999975040555
13,0.6764112710952759,0.7756924629211426,0.6195622682571411,0.5628563165664673,0.754395604133606,0.7986871004104614,0.6144781112670898,0.672897219657898,0.7675327658653259,0.0,0.5742165446281433,0.5742165446281433,0.7543859481811523,0.671875,0.000699999975040555
14,0.663306474685669,0.7631063461303711,0.6188342571258545,0.5632500648498535,0.7544588446617126,0.7888888716697693,0.5976430773735046,0.6495327353477478,0.7628088593482971,0.0,0.5711968541145325,0.5711968541145325,0.7676767706871033,0.59375,0.000699999975040555
15,0.6885080933570862,0.7806858420372009,0.6132512092590332,0.5481961369514465,0.738676905632019,0.7890466451644897,0.6548821330070496,0.663551390171051,0.7707121968269348,0.0,0.5651069283485413,0.5651069283485413,0.7545454502105713,0.6484375,0.000699999975040555
16,0.6794354915618896,0.7884582877159119,0.6071709394454956,0.5381099581718445,0.7271674275398254,0.8094170689582825,0.6077440977096558,0.6682242751121521,0.7598564624786377,0.0,0.562052309513092,0.562052309513092,0.7938144207000732,0.6015625,0.000699999975040555
17,0.6854838728904724,0.7796494960784912,0.6072543263435364,0.5441457033157349,0.7326328158378601,0.8038793206214905,0.627946138381958,0.677570104598999,0.7639444470405579,0.0,0.5863916277885437,0.5863916277885437,0.7979797720909119,0.6171875,0.000699999975040555
18,0.7076612710952759,0.7967785596847534,0.6093195676803589,0.5299807190895081,0.7207103967666626,0.8220338821411133,0.6531986594200134,0.6682242751121521,0.767805278301239,0.0,0.5615195035934448,0.5615195035934448,0.7938144207000732,0.6015625,0.0003499999875202775
19,0.6905242204666138,0.797021746635437,0.6019513010978699,0.526387095451355,0.7145290374755859,0.8239277601242065,0.6144781112670898,0.6542056202888489,0.772029459476471,0.0,0.5623623132705688,0.5623623132705688,0.800000011920929,0.5625,0.0003499999875202775
20,0.6905242204666138,0.7999805212020874,0.6001588106155396,0.5252513885498047,0.71278977394104,0.8153846263885498,0.624579131603241,0.672897219657898,0.7626726031303406,0.0,0.5665246248245239,0.5665246248245239,0.8536585569381714,0.546875,0.0003499999875202775
21,0.7036290168762207,0.8059256672859192,0.6054221987724304,0.5215191841125488,0.7115364074707031,0.8303964734077454,0.6346801519393921,0.6542056202888489,0.7762536406517029,0.0,0.5499374270439148,0.5499374270439148,0.7872340679168701,0.578125,0.0003499999875202775
22,0.7036290168762207,0.807873547077179,0.5950677990913391,0.5122423768043518,0.6990452408790588,0.8073770403862,0.6632996797561646,0.7009345889091492,0.7825217247009277,0.0,0.5761939287185669,0.5761939287185669,0.780701756477356,0.6953125,0.0003499999875202775
23,0.711693525314331,0.8034976720809937,0.6029489636421204,0.5241521000862122,0.7129165530204773,0.8262711763381958,0.6565656661987305,0.6682242751121521,0.7731649875640869,0.0,0.5494278073310852,0.5494278073310852,0.8518518805503845,0.5390625,0.0003499999875202775
24,0.7177419066429138,0.8148380517959595,0.602736234664917,0.512912392616272,0.7027156949043274,0.8152610659599304,0.683501660823822,0.6682242751121521,0.781477153301239,0.0,0.5462468266487122,0.5462468266487122,0.8433734774589539,0.546875,0.0003499999875202775
25,0.7147177457809448,0.8077698945999146,0.6009045839309692,0.516268789768219,0.7050037980079651,0.8387799859046936,0.6481481194496155,0.65887850522995,0.765397846698761,0.0,0.5491493344306946,0.5491493344306946,0.8089887499809265,0.5625,0.0003499999875202775
26,0.7217742204666138,0.821893572807312,0.5971357226371765,0.4978522062301636,0.6869212985038757,0.8412017226219177,0.6599326729774475,0.6682242751121521,0.7751181721687317,0.0,0.5507342219352722,0.5507342219352722,0.8433734774589539,0.546875,0.0003499999875202775
27,0.7318548560142517,0.8232978582382202,0.5924248099327087,0.49272283911705017,0.6804205179214478,0.8306451439857483,0.6936026811599731,0.672897219657898,0.7869276404380798,0.0,0.5419886708259583,0.5419886708259583,0.8536585569381714,0.546875,0.0003499999875202775
28,0.7338709831237793,0.8278915882110596,0.5929547548294067,0.4897685647010803,0.6779736280441284,0.8395061492919922,0.6868686676025391,0.672897219657898,0.7986918687820435,0.0,0.5330361723899841,0.5330361723899841,0.8152173757553101,0.5859375,0.0003499999875202775
29,0.7308467626571655,0.828468918800354,0.5905086398124695,0.48751601576805115,0.6749680042266846,0.8486140966415405,0.6700336933135986,0.6822429895401001,0.7866097688674927,0.0,0.5409587025642395,0.5409587025642395,0.8125,0.609375,0.0003499999875202775
30,0.7368951439857483,0.833453893661499,0.5912027955055237,0.48333096504211426,0.6714790463447571,0.8363636136054993,0.6969696879386902,0.6869158744812012,0.7822492718696594,0.0,0.5385481715202332,0.5385481715202332,0.8351648449897766,0.59375,0.0003499999875202775
31,0.7217742204666138,0.8265189528465271,0.5905594825744629,0.4878627061843872,0.6753003001213074,0.8298755288124084,0.6734007000923157,0.6822429895401001,0.7881540656089783,0.0,0.5415419340133667,0.5415419340133667,0.8488371968269348,0.5703125,0.0003499999875202775
32,0.7419354915618896,0.8405792117118835,0.590209424495697,0.47679993510246277,0.6652036905288696,0.844897985458374,0.6969696879386902,0.6962617039680481,0.7865188717842102,0.0,0.5370211601257324,0.5370211601257324,0.8387096524238586,0.609375,0.0003499999875202775
33,0.7086693644523621,0.8248439431190491,0.5914281606674194,0.49103131890296936,0.6784994006156921,0.8237791657447815,0.6531986594200134,0.6915887594223022,0.7974200248718262,0.0,0.5293373465538025,0.5293373465538025,0.8039215803146362,0.640625,0.0003499999875202775
