model,accuracy,precision,recall,specificity,balanced_accuracy,f1,f2,mcc,tp,tn,fp,fn
teacher_test,0.7616822429906542,0.808,0.7890625,0.7209302325581395,0.7549963662790697,0.7984189723320159,0.792778649921507,0.5073038847800541,101,62,24,27
baseline_test,0.705607476635514,0.6878612716763006,0.9296875,0.37209302325581395,0.650890261627907,0.7906976744186047,0.8686131386861314,0.3759503017540335,119,32,54,9
student_val,0.7102803738317757,0.6918604651162791,0.9296875,0.38372093023255816,0.6567042151162791,0.7933333333333333,0.8698830409356725,0.3868797655299543,119,33,53,9
student_test,0.6962616822429907,0.6820809248554913,0.921875,0.36046511627906974,0.6411700581395349,0.7840531561461794,0.8613138686131386,0.35173194998541124,118,31,55,10
student_test_int8,0.7009345794392523,0.6839080459770115,0.9296875,0.36046511627906974,0.6450763081395349,0.7880794701986754,0.8673469387755102,0.36490186375482586,119,31,55,9
