model,accuracy,precision,recall,specificity,balanced_accuracy,f1,f2,mcc,tp,tn,fp,fn
teacher_test,0.7616822429906542,0.808,0.7890625,0.7209302325581395,0.7549963662790697,0.7984189723320159,0.792778649921507,0.5073038847800541,101,62,24,27
baseline_test,0.705607476635514,0.6878612716763006,0.9296875,0.37209302325581395,0.650890261627907,0.7906976744186047,0.8686131386861314,0.3759503017540335,119,32,54,9
student_val,0.7289719626168224,0.6923076923076923,0.984375,0.3488372093023256,0.6666061046511628,0.8129032258064516,0.9077809798270894,0.4581043686644403,126,30,56,2
student_test,0.6915887850467289,0.6722222222222223,0.9453125,0.313953488372093,0.6296329941860466,0.7857142857142857,0.874277456647399,0.347715497391852,121,27,59,7
student_test_int8,0.6869158878504673,0.6703910614525139,0.9375,0.313953488372093,0.6257267441860466,0.781758957654723,0.8683068017366135,0.3333122978817709,120,27,59,8
