epoch,accuracy,auc,distillation_loss,hard_loss,loss,precision,recall,val_accuracy,val_auc,val_distillation_loss,val_hard_loss,val_loss,val_precision,val_recall,learning_rate
1,0.5342742204666138,0.5068334341049194,0.6922603845596313,0.6949346661567688,1.2134613990783691,0.6074918508529663,0.627946138381958,0.5981308221817017,0.6582939624786377,0.0,0.6855038404464722,0.6855038404464722,0.6029411554336548,0.9609375,0.000699999975040555
2,0.5846773982048035,0.6178408861160278,0.6857243776321411,0.681481122970581,1.1968350410461426,0.6350148320198059,0.7205387353897095,0.5934579372406006,0.6898618936538696,0.0,0.6671903729438782,0.6671903729438782,0.7662337422370911,0.4609375,0.000699999975040555
3,0.6411290168762207,0.673003077507019,0.6714451909065247,0.6552355885505676,1.1628719568252563,0.7155796885490417,0.6649831533432007,0.6355140209197998,0.7092568874359131,0.0,0.6349214911460876,0.6349214911460876,0.77173912525177,0.5546875,0.000699999975040555
4,0.6461693644523621,0.695421576499939,0.6591628193855286,0.6291303038597107,1.1310107707977295,0.7547169923782349,0.6060606241226196,0.6682242751121521,0.7297874093055725,0.0,0.6281577348709106,0.6281577348709106,0.7021276354789734,0.7734375,0.000699999975040555
5,0.649193525314331,0.7093400359153748,0.6448572874069214,0.6196462512016296,1.1095918416976929,0.7594936490058899,0.6060606241226196,0.6542056202888489,0.7330577373504639,0.0,0.6126794219017029,0.6126794219017029,0.8068181872367859,0.5546875,0.000699999975040555
6,0.663306474685669,0.7368450164794922,0.6378534436225891,0.5961501002311707,1.0849659442901611,0.7731092572212219,0.619528591632843,0.6915887594223022,0.7451853156089783,0.0,0.6054354906082153,0.6054354906082153,0.7627118825912476,0.703125,0.000699999975040555
7,0.6653226017951965,0.7222433686256409,0.6382806897163391,0.6114997267723083,1.0969054698944092,0.7763713002204895,0.619528591632843,0.7102803587913513,0.7506359219551086,0.0,0.6147289276123047,0.6147289276123047,0.75,0.7734375,0.000699999975040555
8,0.6673387289047241,0.7340595722198486,0.6364584565162659,0.5968113541603088,1.0840672254562378,0.7784810066223145,0.6212121248245239,0.6495327353477478,0.7568132281303406,0.0,0.5918542146682739,0.5918542146682739,0.7676767706871033,0.59375,0.000699999975040555
9,0.6643145084381104,0.7487670183181763,0.6238799095153809,0.5856487154960632,1.0631166696548462,0.7758985161781311,0.6178451180458069,0.6682242751121521,0.765034556388855,0.0,0.5855273008346558,0.5855273008346558,0.7614678740501404,0.6484375,0.000699999975040555
10,0.6713709831237793,0.7492089867591858,0.6261951923370361,0.5787598490715027,1.060265064239502,0.7838982939720154,0.6228955984115601,0.663551390171051,0.7627634406089783,0.0,0.581676185131073,0.581676185131073,0.7641509175300598,0.6328125,0.000699999975040555
11,0.6814516186714172,0.7628123760223389,0.6163004040718079,0.565484344959259,1.0404136180877686,0.8048245906829834,0.6178451180458069,0.6869158744812012,0.775390625,0.0,0.5815615653991699,0.5815615653991699,0.7747747898101807,0.671875,0.000699999975040555
12,0.6834677457809448,0.7599085569381714,0.620273768901825,0.573276162147522,1.0502309799194336,0.804347813129425,0.6228955984115601,0.6682242751121521,0.7678052186965942,0.0,0.582137405872345,0.582137405872345,0.7567567825317383,0.65625,0.000699999975040555
13,0.6844757795333862,0.7717247605323792,0.6114820241928101,0.5583819150924683,1.0302685499191284,0.8074398040771484,0.6212121248245239,0.644859790802002,0.757267415523529,0.0,0.574029266834259,0.574029266834259,0.7599999904632568,0.59375,0.000699999975040555
14,0.6864919066429138,0.7756564617156982,0.6084390878677368,0.54644775390625,1.0182750225067139,0.8194130659103394,0.6111111044883728,0.672897219657898,0.7698491811752319,0.0,0.5697980523109436,0.5697980523109436,0.7589285969734192,0.6640625,0.000699999975040555
15,0.6864919066429138,0.7772194147109985,0.6069222688674927,0.5428830981254578,1.0140845775604248,0.7954071164131165,0.6414141654968262,0.6542056202888489,0.7643532156944275,0.0,0.5613712072372437,0.5613712072372437,0.8068181872367859,0.5546875,0.000699999975040555
16,0.6885080933570862,0.7887585759162903,0.601248562335968,0.5330561995506287,1.0010405778884888,0.821670413017273,0.6127946376800537,0.677570104598999,0.766987681388855,0.0,0.5525587797164917,0.5525587797164917,0.8172042965888977,0.59375,0.000699999975040555
17,0.7016128897666931,0.7968249917030334,0.5965809226036072,0.5245756506919861,0.9900128245353699,0.8253275156021118,0.6363636255264282,0.672897219657898,0.7770257592201233,0.0,0.5567029118537903,0.5567029118537903,0.7788461446762085,0.6328125,0.0003499999875202775
18,0.7147177457809448,0.8074018359184265,0.599641740322113,0.517112135887146,0.9874756336212158,0.8402625918388367,0.6464646458625793,0.6915887594223022,0.7848382592201233,0.0,0.5525705218315125,0.5525705218315125,0.7818182110786438,0.671875,0.0003499999875202775
19,0.7016128897666931,0.8027088642120361,0.5951540470123291,0.5187973976135254,0.9842522144317627,0.822510838508606,0.6397306323051453,0.6822429895401001,0.7817950248718262,0.0,0.5534973740577698,0.5534973740577698,0.8488371968269348,0.5703125,0.0003499999875202775
20,0.6875,0.801291823387146,0.593410849571228,0.5202041864395142,0.9835641980171204,0.818385660648346,0.6144781112670898,0.663551390171051,0.7800690531730652,0.0,0.5487192869186401,0.5487192869186401,0.8333333134651184,0.546875,0.0003499999875202775
21,0.7227822542190552,0.8133851289749146,0.596510648727417,0.510967493057251,0.979736328125,0.8400852680206299,0.6632996797561646,0.7009345889091492,0.7913790345191956,0.0,0.5375573635101318,0.5375573635101318,0.7962962985038757,0.671875,0.0003499999875202775
22,0.7106854915618896,0.8132412433624268,0.5876590609550476,0.503700852394104,0.9654346704483032,0.8139059543609619,0.6700336933135986,0.7056074738502502,0.7923328876495361,0.0,0.5682991147041321,0.5682991147041321,0.7777777910232544,0.7109375,0.0003499999875202775
23,0.6995967626571655,0.8018776178359985,0.5987075567245483,0.5211594104766846,0.9895769953727722,0.8245614171028137,0.6329966187477112,0.677570104598999,0.7881994843482971,0.0,0.5380220413208008,0.5380220413208008,0.8641975522041321,0.546875,0.0003499999875202775
24,0.7217742204666138,0.8090875148773193,0.5952785611152649,0.5113986134529114,0.9788274168968201,0.8258196711540222,0.6784511804580688,0.677570104598999,0.7913335561752319,0.0,0.5362610220909119,0.5362610220909119,0.8734177350997925,0.5390625,0.0003499999875202775
25,0.7127016186714172,0.8083239793777466,0.5926772952079773,0.5081629157066345,0.9737994074821472,0.8380743861198425,0.6447811722755432,0.65887850522995,0.7866551876068115,0.0,0.5335503816604614,0.5335503816604614,0.8160919547080994,0.5546875,0.0003499999875202775
26,0.7247983813285828,0.8200260400772095,0.5893496870994568,0.4929059147834778,0.9590293765068054,0.8466522693634033,0.6599326729774475,0.677570104598999,0.7966933846473694,0.0,0.5316908955574036,0.5316908955574036,0.8390804529190063,0.5703125,0.0003499999875202775
27,0.7318548560142517,0.8283293843269348,0.5866106748580933,0.4869549572467804,0.951826810836792,0.8374485373497009,0.6851851940155029,0.6682242751121521,0.7945585250854492,0.0,0.540371298789978,0.540371298789978,0.8433734774589539,0.546875,0.0003499999875202775
28,0.7177419066429138,0.8131799101829529,0.5894370675086975,0.5030303597450256,0.9667099118232727,0.8312236070632935,0.6632996797561646,0.6915887594223022,0.8042333126068115,0.0,0.5295899510383606,0.5295899510383606,0.8229166865348816,0.6171875,0.0003499999875202775
29,0.7217742204666138,0.8219295144081116,0.5866804718971252,0.49310311675071716,0.9565078020095825,0.8613636493682861,0.6380471587181091,0.6962617039680481,0.7999182939529419,0.0,0.5229275822639465,0.5229275822639465,0.8315789699554443,0.6171875,0.0003499999875202775
30,0.7278226017951965,0.8188881874084473,0.586698591709137,0.496101438999176,0.9587748050689697,0.8461538553237915,0.6666666865348816,0.6915887594223022,0.8032340407371521,0.0,0.5183330178260803,0.5183330178260803,0.8522727489471436,0.5859375,0.0003499999875202775
31,0.7278226017951965,0.8316773176193237,0.583615243434906,0.48246121406555176,0.9454612135887146,0.8461538553237915,0.6666666865348816,0.6682242751121521,0.8046420216560364,0.0,0.5301356911659241,0.5301356911659241,0.8433734774589539,0.546875,0.0003499999875202775
32,0.7439516186714172,0.836417019367218,0.5846593976020813,0.4784505069255829,0.9434971809387207,0.8744493126869202,0.6683501601219177,0.6915887594223022,0.8031431436538696,0.0,0.5272440314292908,0.5272440314292908,0.8444444537162781,0.59375,0.0003499999875202775
33,0.725806474685669,0.8256137371063232,0.5860528349876404,0.48893654346466064,0.9527552127838135,0.8500000238418579,0.6582491397857666,0.7149532437324524,0.813635528087616,0.0,0.5089794993400574,0.5089794993400574,0.8316831588745117,0.65625,0.0003499999875202775
34,0.7318548560142517,0.8277519345283508,0.5859394073486328,0.4845978915691376,0.949387788772583,0.8459915518760681,0.6750841736793518,0.6822429895401001,0.7927870750427246,0.0,0.5468987822532654,0.5468987822532654,0.9054054021835327,0.5234375,0.0003499999875202775
35,0.75,0.8484086990356445,0.5854734778404236,0.46258604526519775,0.9324127435684204,0.8712446093559265,0.683501660823822,0.7009345889091492,0.8085936903953552,0.0,0.5162999033927917,0.5162999033927917,0.8404255509376526,0.6171875,0.0003499999875202775
