source,total,absent_0,present_1
dataset_grupo_3_reescalado/esp,143,1,142
dataset_grupo_4_reescalado/esp,470,126,344
dataset_grupo_6_reescalado/esp,207,114,93
dataset_grupo_8_reescalado/esp,596,327,269
TOTAL,1416,568,848
